ownerUsername,caption,likesCount,commentsCount,timestamp_kst,url,type,hashtags
bbang_hyojin,"#마트 #오리온 #참붕어빵 #참붕어빵우유슈크림맛 (6700) 🥛

뚜벅이로 어느 동네 마트에서 구매한 신제품!🫠

중간부분만 기존이랑 다른데 마지막 사진 자세히 보면 위에 우유슈크림, 아래 떡 같은거 들어있어서 반갈하기는 힘듬..!

달콤 우유슈크림맛에 쫀득 떡 조합이라 무난하게 간식으로 우유랑 같이 먹기 좋을듯👍 약간 데워먹으면 좀 더 부드럽게 굿🔥
-
#빵효진_마트",86,11,2026-04-23,https://www.instagram.com/p/DXeCgeikd-U/,Image,"['마트', '오리온', '참붕어빵', '참붕어빵우유슈크림맛', '빵효진_마트']"
bbang_hyojin,"#cu #우베디저트 #우베케이크 #우베바스크치즈케이크 (3900) 💜

은은한 우베맛 느껴지는데 크림은 달콤, 바스크치즈케이크는 약간 짠단스러운 맛! 
크림은 부드럽고 바치케는 꾸덕과 촉촉 중간 식감 정도인데 좀 더 촉촉했음..! ㅎㅎ 그래도 나름 우베맛 느껴져서 굿👍
-
#빵효진_cu",88,20,2026-04-22,https://www.instagram.com/p/DXbdYTYkbyO/,Image,"['cu', '우베디저트', '우베케이크', '우베바스크치즈케이크', '빵효진_cu']"
bbang_hyojin,"#gs25 #신상아이스크림 #빙수 #시로쿠마백곰빙수 (5900) 🍧

패키지부터 일단 일본갬성 귀여운 점 좋았고, 보이는 재료 조합에 바닥엔 딸기소스 깔려있는 구성!

맛은 딱 옛날스타일 빙수 맛인데 우유 넣은 빙수 스타일이라 좋았고, 달콤상큼시원 굿✨
-
#빵효진_gs25",43,8,2026-04-23,https://www.instagram.com/p/DXd6OSsEdfW/,Image,"['gs25', '신상아이스크림', '빙수', '시로쿠마백곰빙수', '빵효진_gs25']"
bbang_hyojin,"#협찬 #하얀고래젓갈 #젓갈추천 #구절판젓갈 #핵매운불낙지젓 🔥

하얀고래 구절판젓갈이랑 핵매운 불낙지젓 감사하게 먹어본 솔직후기🔥

🍱구절판 젓갈은 9가지 젓갈로 이루어져 있는데 다양한 젓갈구성이라 골라먹는 재미 굿🥹
종류도 호불호 크지 않은 종류라 좋았고, 대용량 사기 전에 맛보기로도 좋겠고 혼밥하는 1인가구 등에게도 넘 좋을듯한 제품✨

🔥핵!매운 불낙지젓은 맵부심 넘치는 본인이 딱 매콤하게 먹을 정도 맵기라 좋았는데, 일반인은 많이 매울수 있을 맵기🙃

그런 만큼 밥이랑 넘 잘 어울렸고, 매우면 계란후라이 등 곁들여 먹어도 딱 좋을듯😄

두가지 제품 다 퀄이나 신선도 괜찮아서 젓갈 좋아하는 사람들이나 반찬 고민하는 사람들 츄라이~~👍

👉구매정보 및 다른 제품 구경이나 자세한 설명 보고 싶으면 @hayangorae0106 계정 및 스마트스토어 참고🔥",41,15,2026-04-21,https://www.instagram.com/p/DXYfHSFEW2G/,Video,"['협찬', '하얀고래젓갈', '젓갈추천', '구절판젓갈', '핵매운불낙지젓']"
bbang_hyojin,"#cu #연세우유 #연세우유밀크파베초콜릿 #연세우유인절미파베초콜릿 (각 4000) 🍫

둘다 가루 떨어짐 주의였고 부드럽게 씹히는 파베초콜릿 식감!

밀크는 가루는 달지 않은데 초콜릿부분이 적당히 달콤한 밀크초코 맛으로, 우유맛은 크진 않은 편! 

인절미는 화이트초코 달콤한 부분에 겉가루에서만 인절미 느낌 정도 나는 편!

둘다 무난하게 먹은 파베초콜릿들😄
-
#빵효진_cu",98,6,2026-04-22,https://www.instagram.com/p/DXb4fKnkYsl/,Image,"['cu', '연세우유', '연세우유밀크파베초콜릿', '연세우유인절미파베초콜릿', '빵효진_cu']"
bbang_hyojin,"#광고 #동원참치 #맛있는단백질 #동원참치레시피 #육개장 💪

고단백 동원참치를 이용해서 요즘 핫한 육개장사발면 레시피인 육개장 참치비빔면 만들어 먹어보기~🔥

동원참치 135g 기준 한 캔으로 계란 4개 정도의 하루 권장량 절반 수준을 섭취할 수 있는데 매번 똑같은 닭가슴살 질릴 때, 맛있는 동원참치 한 캔으로 간편하게 대체 가능!

계란·닭가슴살 대신 더 간편하고, 번거로운 단백질 식단 대신 동원참치 한 캔으로 간편하게 단백질 섭취 가능한거 굿👍

육개장 사발면과 어우러져서 더 부드럽고 맛있게 즐겨서 좋았고 레시피도 간단하니까 츄라이츄라이~💪

👉구매는 프로필 링크 참고🔥",72,14,2026-04-22,https://www.instagram.com/p/DXbGDM0ERBa/,Video,"['광고', '동원참치', '맛있는단백질', '동원참치레시피', '육개장']"
bbang_hyojin,"#cu #연세우유 #하트티라미수 #연세우유깨먹는하트생크림빵 (3900) 🍫

보통식감 큰 맛은 안느껴지는 빵 위에 깔끔달콤한 다크초콜릿 코팅 잘 되어있는편!

중간에 느끼하진 않은 부드럽고 촉촉한데 살짝 거품같은 느낌 크림들인데 은은달콤 마스카포네 치즈크림과 달콤향긋 커피크림 조합이라 잘 먹은 빵😄
-
#빵효진_cu",736,26,2026-04-22,https://www.instagram.com/p/DXbmHNskXz4/,Image,"['cu', '연세우유', '하트티라미수', '연세우유깨먹는하트생크림빵', '빵효진_cu']"
bbang_hyojin,"#홈플러스 #쁘띠케이크 #쁘띠초코케이크 #쁘띠치즈케이크 (각 2490) 🍫

둘다 쁘띠 사이즈 파이과자인데 초코맛은 무난한 초코맛 파이에 퐁신 마시멜로우, 치즈맛은 은은한 세기인데 약간 꼬릿 뽀또 스타일 달콤치즈풍미 느껴졌고 중간은 치즈크림!

둘다 우유 등이랑 무난하게 간식으로 좋을듯😄
-
#빵효진_홈플러스",109,11,2026-04-22,https://www.instagram.com/p/DXbUbJckf1d/,Image,"['홈플러스', '쁘띠케이크', '쁘띠초코케이크', '쁘띠치즈케이크', '빵효진_홈플러스']"
bbang_hyojin,"#cu #베이크하우스405 #바게트 #명란바게트 (3200) 🥖

에프굽하면 좋고 중간에 명란마요소스 가득 들어있는데 명란>마요 느낌 짭쪼름촉촉하면서 굿👍
-
#빵효진_cu",15,5,2026-04-24,https://www.instagram.com/p/DXf6kGGEZ7F/,Image,"['cu', '베이크하우스405', '바게트', '명란바게트', '빵효진_cu']"
omuk.official,"💚카카오프렌즈에서 말차 춘식이를 출시했습니다! 

말차가 된 춘식이 담겨있는 각종 굿즈부터 말차 덕후까지 설레게 하는 '춘식이 말차 초코 롤케이크'까지! 
롤케이크는 카카오톡 선물하기에서만 만나볼 수 있는 한정 디저트지만, 다양한 말차 춘식 굿즈는 전국 오프라인 스토어에서도 만나볼 수 있으니 춘식맘들은 당장 달려가야 겠는데요?

💚춘식이 말차 초코 롤케이크
💚말차춘 키링인형/말차춘 머그/말차춘 에코백/말차춘 파우치

📷카카오프렌즈

✍️에디터 포도",1968,6,2026-04-23,https://www.instagram.com/p/DXdYWetmD-9/,Sidecar,[]
